idno,ppltrst,happy,cgtsday,alcfreq,height,weight,gndr,yrbrn
921018,6,9,10.0,2-3 times a month,178.0,64.0,Male,1990.0
921026,8,8,,Several times a week,172.0,64.0,Female,1948.0
921034,8,8,,Every day,176.0,87.0,Male,1957.0
921076,8,8,,Several times a week,162.0,70.0,Female,1958.0
921084,5,8,,Every day,175.0,80.0,Male,1936.0
921131,8,8,,Several times a week,160.0,70.0,Female,1940.0
921165,8,Extremely happy,,Once a week,167.0,78.0,Female,1965.0
921181,9,9,,Once a week,194.0,102.0,Male,1956.0
921199,9,8,20.0,2-3 times a month,176.0,62.0,Female,1993.0
921204,9,8,,Once a week,157.0,48.0,Female,1941.0
921220,8,8,,Every day,178.0,80.0,Male,1949.0
921254,7,4,,Once a week,185.0,70.0,Male,1977.0
921262,8,8,,2-3 times a month,180.0,93.0,Male,1987.0
921288,8,8,,Several times a week,191.0,95.0,Male,1949.0
921296,5,9,,Once a week,202.0,108.0,Male,1988.0
921319,8,Extremely happy,10.0,Once a week,185.0,82.0,Male,1997.0
921327,9,9,,Once a week,182.0,97.0,Male,1940.0
921335,8,9,,Several times a week,178.0,84.0,Male,1945.0
921377,7,9,,2-3 times a month,169.0,68.0,Male,1948.0
921393,7,8,,Less than once a month,184.0,67.0,Male,1985.0
921408,7,9,1.0,Several times a week,203.0,104.0,Male,1977.0
921416,8,Extremely happy,40.0,Several times a week,186.0,83.0,Male,1953.0
921424,7,9,,Several times a week,193.0,80.0,Male,1993.0
921432,6,Extremely happy,6.0,Once a week,180.0,90.0,Male,1989.0
921440,9,9,,Once a week,178.0,76.0,Male,1975.0
921474,3,6,8.0,Less than once a month,160.0,70.0,Female,1980.0
921490,4,Extremely happy,,Never,167.0,62.0,Female,1965.0
921505,8,8,,2-3 times a month,185.0,83.0,Male,1968.0
921521,6,9,,Several times a week,191.0,75.0,Male,1987.0
921539,7,9,5.0,Less than once a month,170.0,78.0,Female,1982.0
921547,5,8,,Once a month,164.0,68.0,Female,1999.0
921563,4,8,8.0,Several times a week,180.0,70.0,Male,1954.0
921571,8,9,5.0,Less than once a month,163.0,92.0,Female,1978.0
921589,8,9,,Never,142.0,50.0,Female,1931.0
921610,6,9,,Less than once a month,170.0,60.0,Female,1978.0
921628,7,8,,2-3 times a month,162.0,78.0,Female,1941.0
921636,9,8,,2-3 times a month,185.0,68.0,Male,1996.0
921652,7,7,,Once a week,172.0,65.0,Female,1987.0
921660,8,6,,2-3 times a month,173.0,76.0,Male,1941.0
921678,4,Extremely happy,10.0,Every day,178.0,65.0,Male,1946.0
921733,5,3,,Several times a week,182.0,95.0,Male,1960.0
921814,9,Extremely happy,,Never,196.0,90.0,Male,1972.0
921856,7,8,,2-3 times a month,158.0,79.0,Female,1969.0
921864,8,7,20.0,Several times a week,169.0,66.0,Male,1994.0
921872,4,5,15.0,Never,165.0,69.0,Female,1983.0
921880,7,9,,Once a week,180.0,80.0,Female,1963.0
921898,8,Extremely happy,,2-3 times a month,177.0,66.0,Female,1966.0
921903,8,Extremely happy,3.0,2-3 times a month,170.0,76.0,Male,1967.0
921911,5,1,20.0,Every day,175.0,98.0,Male,1969.0
921937,4,4,10.0,Several times a week,180.0,64.0,Male,1994.0
921945,6,7,,Once a week,183.0,106.0,Male,1976.0
921953,8,9,,Every day,172.0,82.0,Female,1935.0
921987,7,7,,Once a week,179.0,74.0,Male,1964.0
922006,7,Extremely happy,20.0,Less than once a month,167.0,106.0,Female,1964.0
922014,5,9,,2-3 times a month,161.0,50.0,Female,1991.0
922048,9,3,0.0,Every day,165.0,70.0,Male,1929.0
922056,6,8,,Every day,153.0,58.0,Female,1973.0
922072,7,9,,Once a month,162.0,69.0,Female,1988.0
922080,5,6,20.0,Several times a week,184.0,87.0,Male,1975.0
922098,4,9,3.0,Less than once a month,186.0,69.0,Male,1947.0
922103,9,8,20.0,Every day,189.0,76.0,Male,1949.0
922111,8,9,,Every day,169.0,60.0,Female,1944.0
922129,4,8,,Several times a week,185.0,70.0,Male,1998.0
922200,8,8,,Once a month,188.0,105.0,Male,1975.0
922226,5,8,,Several times a week,173.0,80.0,Male,1941.0
922250,8,8,,Several times a week,178.0,72.0,Female,1937.0
922268,9,Extremely happy,8.0,Several times a week,170.0,85.0,Female,1971.0
922276,9,Extremely happy,,Several times a week,171.0,50.0,Male,1952.0
922284,7,8,6.0,Every day,176.0,77.0,Male,1947.0
922292,8,Extremely happy,,Once a week,169.0,65.0,Female,1968.0
922315,7,7,,Several times a week,183.0,88.0,Male,1942.0
922323,6,8,,Once a week,155.0,47.0,Female,1940.0
922381,5,9,,Less than once a month,177.0,75.0,Male,1969.0
922399,8,9,,Less than once a month,176.0,73.0,Male,1959.0
922404,8,Extremely happy,,Once a week,177.0,63.0,Male,1999.0
922412,8,9,,2-3 times a month,172.0,67.0,Female,1962.0
922420,7,Extremely happy,,Once a month,164.0,74.0,Female,1976.0
922454,8,8,,Less than once a month,170.0,68.0,Female,1991.0
922462,Most people can be trusted,Extremely happy,,Once a week,160.0,60.0,Female,1968.0
922470,9,8,,Once a week,153.0,62.0,Female,1936.0
922501,9,8,,Several times a week,165.0,64.0,Female,1970.0
922519,8,8,,Several times a week,178.0,78.0,Male,1953.0
922535,8,9,,2-3 times a month,176.0,82.0,Male,1964.0
922543,2,Extremely happy,,Never,155.0,64.0,Female,1970.0
922569,3,3,,Once a month,165.0,58.0,Female,1980.0
922577,6,9,,2-3 times a month,168.0,79.0,Male,1943.0
922593,Most people can be trusted,8,15.0,Every day,163.0,50.0,Female,1968.0
922608,5,9,,Every day,182.0,80.0,Male,1982.0
922616,Most people can be trusted,9,,2-3 times a month,180.0,92.0,Male,1953.0
922624,5,8,,Every day,163.0,54.0,Female,1954.0
